Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Depreciation,Resale_Percentage
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0,2,4.449999999999999,67.27941176470588
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0,2,0.46999999999999975,92.12730318257957
amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0,3,1.7999999999999998,68.96551724137932
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0,2,1.1000000000000005,85.71428571428571
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,3,3.0,57.14285714285714
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0,1,2.1999999999999993,74.71264367816093
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0,4,3.35,52.142857142857146
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,2,1.0500000000000007,88.82978723404254
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0,1,1.0,82.75862068965517
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,0,3,3.3,67.0
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,7,5.9,41.0
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,9,7.0,30.0
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,3,2.5,75.0
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0,8,5.25,30.0
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0,4,1.5,77.94117647058823
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0,2,2.6999999999999993,80.14705882352942
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0,3,4.949999999999999,63.602941176470594
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,3,3.9000000000000004,71.32352941176471
jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,0,2,2.4000000000000004,71.42857142857143
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,4,7.35,45.95588235294118
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0,3,0.6500000000000004,88.98305084745762
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0,12,5.5,27.631578947368425
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,4,5.75,58.92857142857143
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,2,2.8100000000000005,76.18644067796609
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0,5,2.4000000000000004,59.32203389830508
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0,2,1.0999999999999996,87.05882352941177
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0,2,2.25,71.51898734177216
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,3,1.75,76.66666666666667
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0,3,5.199999999999999,61.76470588235294
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0,2,3.49,74.33823529411765
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0,4,1.9000000000000004,70.3125
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0,3,0.6999999999999993,88.52459016393443
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0,2,2.0,76.19047619047619
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0,8,6.65,32.82828282828283
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0,4,3.05,55.14705882352941
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0,3,4.539999999999999,65.3170359052712
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0,2,2.0999999999999996,81.89655172413794
brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,0,3,1.9000000000000004,67.79661016949152
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,9,7.65,30.454545454545457
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0,1,1.0,92.0
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0,2,0.6000000000000005,89.83050847457626
